filmtv_id,title,year,genre,duration,country,director,actors,avg_vote,votes,description,notes
168,Agente segreto 777 - Operazione mistero,1966,Spy,90,Italy,Henry Bay,"Mark Damon, Mary Young, Seyna Seyn",3.8,5,"The scientist Keller has made a prodigious discovery that opens new horizons in the field of atomic energy production and, conscious of the potential dangers, decides to keep it secret. But precisely his most trusted collaborators put the secret services of a foreign power at his heels.",Nothing new under the sun in this standard specimen of the espionage genre.
169,Madame Sin,1972,Spy,73,Great Britain,David Greene,"Bette Davis, Robert Wagner, Denholm Elliot, Gordon Jackson",4.7,7,"The British secret agent Anthony Lawrence is kidnapped and taken to the castle of Madame Sin, where he explains that his task will be to take over an atomic submarine, conditioning the will of the commander. Lawrence will be able at the last minute to get the Intelligence Service to intervene, but Madame Sin will escape capture.","Between espionage and science fiction, this television film was made for the great Bette Davis, at very high costs and with huge audience success (in Great Britain). The diva reciprocates with an amazing interpretation, a decisive contribution in the overall context of a job that is not excellent."
170,Agente speciale L. K. - Operazione Re Mida,1967,Adventure,90,"Italy, Spain",Jess Franco,"Ray Danton, Dante Posani, Rosalba Neri, Barbara Bold, Beba Loncar",5,3,"Between the carnival of Nice, Rome and Albania, including corpses and young ladies, Agent Lucky unmasks a band of counterfeit dealers. Jesus Franco, a specialist in horror and erotic films, moves among these funny nonsense as a good little master of trash. The film is also known as ""Operation King Midas"".",
171,Passeport diplomatique/Agent K8,1966,Spy,97,France,Robert Vernay,"Roger Hanin, Christiane Minazzoli, Lucien Nat, Denise Bataille",4,1,"Inventor of synthetic oil is threatened by oil companies and spies, a French agent hides it.",
172,The Hostage Tower,1980,Spy,108,United States,Claudio Guzman,"Peter Fonda, Maud Adams, Billt Dee Williams, Keir Dullea",4.5,2,"The billionaire supervillain Mr. Smith, in view of a spectacular coup, gathers around him numerous professionals from all over the world, and among them three American secret agents are able to infiltrate: Simba, Sabrina and Mike Graham, ex of the CIA put early to rest . Smith does, however, implement his criminal plan: behind the threat of blowing up the Eiffel tower, where he is holding the mother of the US president hostage, he asks for a ransom of 30 million dollars. The Minister of the Interior surrenders to the request trusting in the prompt intervention of the agents.",The film does not excite despite some spectacularly well made solutions.
173,The Pawnshop,1916,Comedy,42,United States,Charles Chaplin,"Charles Chaplin, Albert Austin, Henry Bergman",6.9,13,"Charlie works at a pawn shop, but the man who shows up with an alarm clock does not even imagine in what state he will be returned.",
174,The Ultimate Solution of Grace Quigley,1984,Comedy,102,United States,Anthony Harvey,"Katharine Hepburn, Nick Nolte, Elizabeth Wilson, Kit Le Fever",5.3,10,"Sated with life, old Grace hires a killer to suppress her. The idea captures many of her elderly friends, and she puts on a business of death on commission.",Si ride amaro con Katharine Hepburn and Nick Nolte.
175,Al acecho,1988,Adventure,88,Spain,Gerardo Herrero,"Giuliano Gemma, Conrado Sanmartin, Eduardo Calvo, Mario Gas",4,1,"Roca (Gemma) has long learned that it is better to do it all by mistrusting everyone. A principle that comes in handy when he finds himself against a powerful mafia organization that counts among its common delinquents but also men of finance. Once upon a time the organization had managed to trap him thanks to a girl; this time, however, life is at stake for Roca, and all those around him are hiding something.","Action movie that recycles, in addition to the always athletic Giuliano Gemma, other Spanish spaghetti westerns who have been inactive for a long time. A reunion which however lacks rhythm and ideas."
176,Agguato a Tangeri,1957,Thriller,88,Italy,Riccardo Freda,"Edmund Purdom, Geneviève Page, Gino Cervi, Amparo Rivelles",4.9,6,"John Millwood, who is said to have been expelled from the United States, falls in love with Mary, daughter of the rich ichthyologist Hanry Bovelasco, but leaves her to not look like a dowry hunter in the eyes of the girl's father. In reality, John is a secret agent who tries to unmask a drug trade, of which Bovelasco is the leader.","Riccardo Freda, in his long career as a director, has experimented with all film genres, with mixed results: from real gems to purely alimentary works made without engaging more than much. As in this case, for example."
177,Across the Pacific,1942,Spy,97,United States,John Huston,"Humphrey Bogart, Mary Astor, Sydney Greenstreet",7,20,"We are on the eve of the war. Acting as a discharged American soldier, a secret agent embarks on a steamer en route to Panama, on the trail of a compatriot who has sold himself to the Japanese cause. Once in Panama, the spy tries to organize a clandestine base in the plantation belonging to the girl's father whose secret agent fell in love.","Military propaganda film, where Huston brought together, some years later, some of the interpreters of the ""Mystery of the hawk"". The director, called to arms had to hand over to Vincent Sherman, who finished shooting. The intrigue, however, is a bit far-fetched."
178,Hard Ticket to Hawaii,1987,Crime,96,United States,Andy Sidaris,"Dona Speir, Hope Marie Carlton, Ronn Moss",3.5,5,"Two agents of narcotics are on the trail of a drug trafficking that leads them to the exotic islands of the Pacific, where, among beautiful women, ambushes, chases and threatening presence of giant reptiles, they will find bread for their teeth. But don't worry because (if you really care) you will end up carrying out their task anyway.","Stuff from Z series this action film that shuffles cheap exoticism with the most worn narrative places and mechanisms of detective cinema. And to put a little pepper in this soup, a plain and heated Sidaris uses the most predictable make-up: sex."
179,Hostile Guns,1967,Western,91,United States,R. G. Springsteen,"George Montgomery, Yvonne De Carlo, Tab Hunter",5,2,"Sheriff McCloud is escorting four prisoners to the Huntsville penitentiary, including Hank, a dangerous murderer, and Laura, accused of killing her lover. A first attempt by the accomplices to free Hank goes to waste; a second, when Laura got the vice sheriff Mike, she would succeed if the woman, now in love with McCloud, didn't tell Mike the truth.","A subject to say the least naive; a distracted and botched script; a mediocre narrative; interpreters who take charge of their respective characters for what they really are worth, that is very little. A completely negligible film."
180,Rhino!,1964,Adventure,91,United States,Ivan Tors,"Harry Guardino, Robert Culp, Shirley Eaton",2.5,2,"A hunter should bring back two white rhinos in a reserve, but the idea of ​​a hefty gain makes him think of selling them. Boring story of hunting and adventure, in suggestive landscapes.",
181,Die Flusspiraten vom Mississippi,1964,Western,86,Germany,Jürgen Roland,"Brad Harris, Tony Kendall, Hansjörg Felmy, Sabine Sinjen, Horst Frank",4.5,2,A mysterious stranger arrives at Black Water. Is he tied to the band of the ferocious Morrel?,
182,"Agi Murad, il diavolo bianco",1959,Adventure,100,"Italy, Yugoslavia",Robert Hampton (Riccardo Freda),"Steve Reeves, Giorgia Moll, Scilla Gabel, Renato Baldini",5.8,5,"First half of the 19th century: Agi Murad, head of the Caucasian rebels, leads the struggle for independence against the troops of Tsar Nicholas I Romanov. But the power contrasts with his rival Ahmed Khan and the kidnapping of his betrothed and his son make his mission even more difficult.","Inspired by a novel by Tolstoy (""Hadzi Murat"") and correctly directed - but nothing more - by one of the few Italian adventure film specialists, the film uses a photograph signed by an illustrious name: Mario Bava. A decade earlier, Nunzio Malasomma had already experimented with the same story (""Il diavolo bianco"", with Rossano Brazzi)."
183,Agnes of God,1985,Drama,98,United States,Norman Jewison,"Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak, Gratien Gelinas",6.1,43,"In a Montreal convent, a young nun gives birth and the child is found strangled. Dr. Martha Livingstone (Fonda) is charged with conducting a psychiatric examination of the alleged murderer. The rationalistic investigation in the field of mysticism (the nun has the stigmata), of the conventual life and culture, leads Martha to formulate the hypothesis that infanticide has been committed by others.","An all-female psychological yellow, conventionally directed by Norman Jewison, the film has a strong point in the interpretation of Ann Bancroft (the mother superior), while Jane Fonda gigioneggia."
185,City Limits,1985,Fantasy,78,United States,Aaron Lipstadt,"Darrell Larson, John Stockwell, Kim Cattrall",3.5,2,Depleted by a pestilence the world is without law. Bands of survivors fight with every means.,"Scialbo, with a beautiful series B cast."
186,Ai margini della metropoli,1953,Drama,95,Italy,Carlo Lizzani,"Massimo Girotti, Marina Berti, Giulietta Masina",5.4,9,,
187,"Ai vostri ordini, signora...",1939,Comedy,70,Italy,Mario Mattòli,"Elsa Merlini, Vittorio De Sica",6.3,3,,
188,Aida,1953,Musical,97,Italy,Clemente Fracassi,"Sophia Loren, Lois Maxwell, Luciano Della Marra, Enrico Formichi",6,7,,
189,Air America,1990,Adventure,106,United States,Roger Spottiswoode,"Mel Gibson, Robert Downey jr., Nancy Travis, David Marshall",5.3,56,,
193,Airport '77,1977,Action,110,United States,Jerry Jameson,"Jack Lemmon, James Stewart, Lee Grant, Brenda Vaccaro, Jean Seberg",4.7,36,,
194,Baby on Board,1991,Comedy,100,United States,Francis Schaeffer,"Judge Reinhold, Carol Kane, Alex Stapley, Holly Stapley",4.7,8,,
196,It Nearly Wasn't Christmas,1989,Comedy,60,United States,Burt Brickerhoff,"Charles Durning, Ted Lange, Risa Shiffman",4,1,,
198,Akiko,1961,Comedy,99,Italy,Luigi Filippo D'Amico,"Akiko Wakabayashi, Pierre Brice, Marisa Merlini",4.4,6,,
199,Al bar dello sport,1983,Comedy,100,Italy,Francesco Massaro,"Lino Banfi, Jerry Calà, Mara Venier, Annie Belle, Mirella Banti",5.1,103,,
200,Al calar della sera,1992,Thriller,90,Italy,Alessandro Lucidi,"Gianluca Favilla, Daniela Poggi, Paolo Lorimer",4.3,6,,
201,Al Capone,1959,Gangster,104,United States,Richard Wilson,"Nehemiah Persoff, Rod Steiger, Fay Spain, James Gregory, Martin Balsam",6.5,11,,
202,Storm Center,1956,Drama,87,United States,Daniel Taradash,"Bette Davis, Brian Keith, Kim Hunter, Paul Kelly, Kevin Coughlin",6.3,9,,
203,Journey to the Center of the Earth,1987,Adventure,90,United States,Rusty Lemorande,"Paul Carafotes, Nicola Cowper",4,1,,
204,Drums Across the River,1954,Western,78,United States,Nathan Juran,"Audie Murphy, Lisa Gaye, Walter Brennan, Lyle Bettger",8,6,,
205,Die Nackt und der Satan,1959,Horror,92,Germany,Victor Trivas,"Michel Simon, Horst Frank, Karin Kernke",7.4,5,,
207,Al di là della legge,1968,Western,95,Italy,Giorgio Stegani,"Lee Van Cleef, Antonio Sabato, Graziella Granata, Lionel Stander, Gordon Mitchell, Bud Spencer, Herbert Fux, Ann Smyrner",5.1,21,,
208,All the Way Home,1963,Drama,103,United States,Alex Segal,"Jean Simmons, Robert Preston, Aline MacMahon, Pat Hingle, Michael Kearney",7.8,7,,
209,The Lawyer,1970,Drama,117,United States,Sidney J. Furie,"Barry Newman, Harold Gould, Diana Muldaur, Robert Colbert",7.5,7,,
210,Above Suspicion,1943,Spy,91,United States,Richard Thorpe,"Fred MacMurray, Joan Crawford, Conrad Veidt",5.9,13,,
211,Checking Out,1988,Grotesque,99,Great Britain,David Leland,"Jeff Daniels, Melanie Myron, Allan Havey",8,2,,
212,Al diavolo la celebrità,1949,Comedy,90,Italy,"Mario Monicelli, Steno","Carlo Campanini, Marcel Cerdan, Ferruccio Tagliavini, Mischa Auer",5.6,6,,
213,I'll Be Seeing You,1945,Comedy,85,United States,William Dieterle,"Ginger Rogers, Joseph Cotten, Shirley Temple, John Derek",6.2,16,,
214,Alambrado,1991,Drama,90,"Italy, Argentina",Marco Bechis,"Jacqueline Lustig, Martin Kalwill, Arturo Maly",7,11,,
216,Alamo Bay,1985,Drama,103,United States,Louis Malle,"Ed Harris, Amy Madigan, Ho Nguyen, Donald Moffat, Rudy Young",6.4,14,,
217,Steel Dawn,1987,Fantasy,100,United States,Lance Hool,"Patrick Swayze, Lisa Niemi, Christopher Neame, Brion James",4.8,7,,
218,Dallas: The Early Years,1986,Comedy,180,United States,Larry Elikann,"Larry Hagman, David Grant, Dale Midkiff",6,1,,
219,Dawn at Socorro,1954,Western,84,United States,George Sherman,"Rory Calhoun, David Brian, Alex Nicol, Piper Laurie",6.2,7,,
220,Le jour se lève,1939,Drama,87,France,Marcel Carné,"Jean Gabin, Jules Berry, Arletty, Jacqueline Laurent, Bernard Blier",8.1,43,,
221,L'albergo degli assenti,1939,Thriller,90,Italy,Raffaello Matarazzo,"Paola Barbara, Camillo Pilotto, Maurizio D'Ancora",7,4,,
222,Schabernack,1936,Comedy,78,Austria,E. W. Emo,"Hans Moser, Paul Horbiger, Trude Marlen, Hans Richter",6,1,,
223,The Hanging Tree,1959,Western,100,United States,Delmer Daves,"Gary Cooper, Maria Schell, Karl Malden, George C. Scott",7.8,64,,
224,Raintree County,1957,Drama,146,United States,Edward Dmytryk,"Montgomery Clift, Elizabeth Taylor, Eva Marie Saint, Lee Marvin",6.7,21,,
225,L'albero di Adamo,1936,Comedy,77,Italy,Mario Bonnard,"Elsa Merlini, Antonio Gandusio, Renato Cialente, Dria Paola, Marcello Giorda",6.5,5,,
226,Alcune signore perbene,1990,Drama,85,Italy,Bruno Gaburro,"Dalila Di Lazzaro, Florence Guérin, Eva Grimaldi, Rossy De Palma",7,2,,
227,Aldebaran,1935,Drama,98,Italy,Alessandro Blasetti,"Gino Cervi, Evi Maltagliati, Gianfranco Giachetti",5,3,,
228,O Megalexandros,1980,Drama,220,Greece,Theo Anghelopoulos,"Omero Antonutti, Eva Kotamanidou, Grigoris Evangelatos",7.6,7,,
229,Alfie,1966,Drama,110,Great Britain,Lewis Gilbert,"Michael Caine, Shelley Winters, Jane Asher, Julia Foster",7.5,33,,
230,Alfredo Alfredo,1972,Comedy,110,Italy,Pietro Germi,"Dustin Hoffman, Stefania Sandrelli, Carla Gravina, Saro Urzì, Duilio Del Prete",7,44,,
231,Alfred the Great,1969,Biography,120,Great Britain,Clive Donner,"David Hemmings, Prunella Ransome, Michael York, Colin Blakely",8.1,6,,
232,Q Planes,1939,Spy,82,Great Britain,Tim Whelan,"Laurence Olivier, Valerie Hobson, Ralph Richardson, George Curzon",7.7,4,,
233,Nightwing,1979,Horror,105,United States,Arthur Hiller,"Nick Mancuso, David Warner, Kathryn Harrold",5.3,9,,
234,The Wizard of Baghdad,1960,Fantasy,92,United States,George Sherman,"Dick Shawn, Diane Baker, Barry Coe, John Van Dreelen",6,1,,
235,Alibi,1955,Drama,109,Germany,Alfred Weidenmann,"Otto Hasse, Martin Held, Hardy Krüger, Eva Ingeborg Sholz",6,1,,
236,Time Without Pity,1956,Thriller,88,Great Britain,Joseph Losey,"Michael Redgrave, Ann Todd, Peter Cushing, Joan Plowright",7.9,13,,
237,Ein Alibi zerbricht,1963,Thriller,90,"Germany, Austria",Alfred Vohrer,"Peter Van Eyck, Ruth Leuwerick, Charles Regnier, Sieghardt Rupp",6.3,3,,
238,Her Alibi,1989,Comedy,95,United States,Bruce Beresford,"Tom Selleck, Paulina Porizkova, James Farentino",6,41,,
239,Nightfall,1956,Crime,78,United States,Jacques Tourneur,"Aldo Ray, Brian Keith, Anne Bancroft, James Gregory, Jocelyn Brando, Frank Albertson, Rudy Bond",7.5,8,,
240,Alice,1990,Comedy,106,United States,Woody Allen,"Mia Farrow, William Hurt, Joe Mantegna, Cybill Shepherd",6.6,92,,
241,Alice Doesn't Live Here Anymore,1974,Drama,107,United States,Martin Scorsese,"Ellen Burstyn, Kris Kristofferson, Harvey Keitel, Alfred Lutter",7.8,125,,
242,Alien,1979,Fantasy,115,"Great Britain, United States",Ridley Scott,"Sigourney Weaver, Tom Skerritt, Harry Dean Stanton, Veronica Cartwright",8.6,733,,
243,Alien degli abissi,1989,Fantasy,92,Italy,Anthony M. Dawson (Antonio Margheriti),"Daniel Bosch, Julia McKay, Alan Collins, Robert Paul Marius, Charles Napier",3.5,10,,
244,Alien Predator,1987,Fantasy,92,United States,Deran Serafian,"Lynn-Holly Johnson, Dennis Christopher, Martin Hewitt",2.8,3,,
245,Alien terror,1986,Fantasy,90,United States,Juan Ibañez,"Boris Karloff, Christa Linder",6,1,,
246,The Hidden,1987,Fantasy,97,United States,Jack Sholder,"Kyle MacLachlan, Michael Nouri, Claudia Christian",7.3,69,,
247,Aliens,1986,Fantasy,136,United States,James Cameron,"Sigourney Weaver, Michael Biehn, Paul Reiser, Carrie Henn",7.8,444,,
248,Breaking Away,1979,Comedy,101,United States,Peter Yates,"Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley",7.3,17,,
249,Romancing the Stone,1984,Adventure,105,United States,Robert Zemeckis,"Danny DeVito, Kathleen Turner, Michael Douglas, Zack Norman, Alfonso Arau",7.2,183,,
250,Run for Cover,1954,Western,92,United States,Nicholas Ray,"James Cagney, Viveca Lindfors, John Derek",7.3,33,,
251,Anthony and Cleopatra,1973,History,134,United States,Charlton Heston,"Charlton Heston, Hildegard Neil, Eric Porter, Fernando Rey, John Castle",5,2,,
252,A l'ombre d'un été,1976,Drama,79,France,Jean-Louis Van Belle,"Maurice Ronet, Josephine Chaplin, Charles Vanez",4,1,,
253,Die longste Sekunde,1951,Thriller,90,Germany,Kristian Kuhn,"Armin Müller-Stahl, Christine Ostermayer",6,1,,
254,Breathless,1983,Drama,98,United States,Jim McBride,"Richard Gere, Valérie Kaprisky, Art Metrano, Robert Dunn, William Tepper, John Ryan, Karen Black",6.3,40,,
255,All'ultimo sangue,1969,Western,102,Italy,Paolo Moffa,"Craig Hill, Ettore Manni",4.5,5,,
256,One A.M.,1916,Comedy,50,United States,Charles Chaplin,"Charles Chaplin, Albert Austin",7.6,24,,
257,Cutter's Way,1981,Thriller,105,United States,Ivan Passer,"John Heard, Jeff Bridges, Lisa Eichhorn, Ann Dusenberry",6.7,11,,
258,Everybody Wins,1990,Crime,95,"United States, Great Britain",Karel Reisz,"Nick Nolte, Debra Winger, Will Patton",5.8,29,,
259,The Blue Lightning,1986,Action,95,Australia,Lee Philips,"Sam Elliott, Rebecca Gilling, Robert Culp, John Meillon, Robert Coleby",6,1,,
260,The Land Before Time,1988,Animation,79,United States,Don Bluth,,7.4,91,,
262,King Solomon's Mines,1985,Adventure,99,United States,J. Lee Thompson,"Richard Chamberlain, Sharon Stone, Herbert Lom",4.5,18,,
263,Come Blow Your Horn,1963,Comedy,112,United States,Bud Yorkin,"Frank Sinatra, Lee J. Cobb, Molly Picon, Barbara Rush, Jill St. John",6,1,,
264,Dead Heat on a Merry Go Round,1967,Thriller,108,United States,Bernard Girard,"James Coburn, Camilla Sparv, Aldo Ray",6.1,5,,
265,Summer Stock,1950,Musical,109,United States,Charles Walters,"Judy Garland, Gene Kelly, Eddie Bracken, Marjorie Main",7,7,,
266,Funny Farm,1988,Comedy,101,United States,George Roy Hill,"Chevy Chase, Madolyn Smith, Joseph Maher, Brad Sullivan",5.8,10,,
267,Bonnie Scotland,1935,Comedy,80,United States,James W. Horne,"Stan Laurel, Oliver Hardy, James Finlayson, June Lang, Vernon Steele, William Janney",7.1,23,,
268,Mr. Scoutmaster,1953,Comedy,87,United States,Henry Levin,"Clifton Webb, Edmund Gwenn, George Winston",6,2,,
269,Jitterbugs,1943,Comedy,75,United States,Malcolm St. Clair,"Stan Laurel, Oliver Hardy, Vivian Blaine, Douglas Fowley, Noel Madison",6.3,18,,
270,L'allegro fantasma,1941,Comedy,85,Italy,Amleto Palermi,"Totò, Luigi Pavese, Paolo Stoppa, Franco Coop, Amelia Chellini",5.6,21,,
271,Allegro non troppo,1977,Animation,85,Italy,Bruno Bozzetto,"Maurizio Nichetti, Maurizio Micheli, Maria Luisa Giovannini, Nestor Garay",7.8,62,,
272,L'allegro squadrone,1954,Comedy,90,"Italy, France",Paolo Moffa,"Alberto Sordi, Paolo Stoppa, Vittorio De Sica, Charles Vanel, Riccardo Fellini, Silvana Pampanini",3.8,14,,
273,Allemagne neuf zéro,1991,Drama,62,France,Jean-Luc Godard,"Eddie Constantine, Hanns Zischler, Claudia Michelsen",8,16,,
274,L'allenatore nel pallone,1984,Comedy,98,Italy,Sergio Martino,"Lino Banfi, Gigi Sammarchi, Andrea Roncato, Licinia Lentini, Giuliana Calandra",6.2,183,,
275,Go for Broke!,1951,War,93,United States,Robert Pirosh,"Van Johnson, Lane Nakano, Henry Nakamura",6,1,,
276,Skrijanc na nitick,1969,Drama,104,Czechoslovakia,Jiri Menzel,"Václav Neckar, Ferdinand Kruta, Frantisek Rehak, Leos Sucharipa",8.1,10,,
278,Jacob's Ladder,1990,Drama,107,United States,Adrian Lyne,"Tim Robbins, Elizabeth Peña, Danny Aiello, Matt Craven, Pruitt Taylor Vince",7.4,96,,
279,Un femme ou deux,1988,Comedy,98,France,Daniel Vigne,"Gérard Depardieu, Beverly Todd, Cleavon Little, Ernie Barnes, Sigourney Weaver, John Beradino",4,2,,
280,Alta infedeltà,1964,Comedy,130,Italy,"Franco Rossi, Elio Petri, Luciano Salce, Mario Monicelli","Nino Manfredi, Monica Vitti, Charles Aznavour, Ugo Tognazzi",6.5,4,,
281,High Tide at Noon,1957,Mélo,111,Great Britain,Philip Leacock,"Betta St. John, Michael Craig, Patrick McGoohan, Flora Robson",6,1,,
282,High Society,1956,Musical,107,United States,Charles Walters,"Grace Kelly, Bing Crosby, Frank Sinatra, Louis Armstrong",7,62,,
283,High Season,1987,Drama,101,Great Britain,Claire Peploe,"Jacqueline Bisset, Irene Papas, Kenneth Branagh, James Fox",4,1,,
284,Altair,1956,Drama,85,Italy,Leonardo De Mitri,"Antonella Lualdi, Franco Interlenghi, Claude Laydu",4,2,,
285,Doppelganger,1992,Thriller,105,United States,Avi Nesher,"Drew Barrymore, George Newbern, Dennis Christopher",5.9,8,,
286,Koenigliche Hoheit,1953,Drama,108,Germany,Harald Braun,"Georg Hurdalek, Hans Hömberg, Erika Mann, Dieter Borsche, Lil Dagover",6,1,,
287,Altissima pressione,1965,Musical,97,Italy,Enzo Trapani,"Dino, Gianni Morandi, Lucio Dalla, Peppino Gagliardi, Lando Fiorini",3,4,,
288,Hold My Hand I'm Dying,1988,Drama,106,Great Britain,Terence Ryan,"Christopher Cazenove, Edita Brychta, Patrick Shai, Oliver Reed",6.5,3,,
289,Another Woman,1988,Drama,81,United States,Woody Allen,"Gena Rowlands, Mia Farrow, Ian Holm, Gene Hackman, Martha Plimpton, Blythe Danner, Betty Buckley, Martha Plimpton, John Houseman, Sandy Dennis, David Ogden Stiers, Philip Bosco, Harris Yulin, Frances Conroy, Fred Melamed, Kenneth Welsh",7.8,130,,
290,L'altra faccia del padrino,1973,Comedy,100,Italy,Franco Prosperi,"Alighiero Noschese, Minnie Minoprio, Lino Banfi",5.7,9,,
291,Beneath Planet of the Apes,1970,Fantasy,95,United States,Ted Post,"Charlton Heston, James Franciscus, Kim Hunter, Maurice Evans",6.8,93,,
292,The Other Side of Midnight,1977,Drama,166,United States,Charles Jarrott,"Marie-France Pisier, John Beck, Susan Sarandon, Raf Vallone",5,2,,
293,Un'altra vita,1992,Drama,95,Italy,Carlo Mazzacurati,"Silvio Orlando, Adriana Biedrzynska, Monica Scattini, Claudio Amendola",6.6,17,,
294,Altre voci / L'uomo dei guanti / Viva gli sposi,,Drama,90,Italy,"Pasquale Pozzessere, Cristiano Bortone, Giancarlo Di Re","Alfredo Pea, Antonella Ponziani, Sal Borgese; Patrizio Zappa Mulas, Franco Trevisi",8,1,"Other voices (1992, 27 min.), Is a documentary about a group of dispossessed who have occupied an abandoned building in Rome. Many portraits of characters who live without taking tomorrow into consideration. The direction is by Pasquale Pozzessere (that of ""Verso Sud""). The protagonist of ""The Gloves Man"" (1992, 40 min.) Lives selling condoms to prostitutes and transvestites. He lives with a transsexual in love with him, but would like to betray him with a girl who does not love him; it will ruin both relationship. In ""Viva gli sposi"" (1988, b / w, 42 min.) We talk about the so-called most important day in everyone's life, that of marriage. For the two protagonists, everything seems normal, but misunderstandings and small hallucinations emerge.","In their diversity, the three films testify to the vitality of the new Italian independent cinema."
296,Strangers on a Train,1951,Thriller,96,United States,Alfred Hitchcock,"Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll",8.5,242,,
297,Always,1989,Romantic,121,United States,Steven Spielberg,"Richard Dreyfuss, Holly Hunter, Brad Johnson, Audrey Hepburn",6.3,121,,
298,Espion lève-toi,1981,Spy,98,France,Yves Boisset,"Lino Ventura, Michel Piccoli, Bruno Cremer, Krystyna Janda",7.2,7,,
299,Love Me or Leave Me,1955,Drama,117,United States,Charles Vidor,"Doris Day, James Cagney, Cameron Mitchell, Robert Keith",8.2,16,,
300,L'amant,1991,Drama,112,France,Jean-Jacques Annaud,"Jane March, Tony Leung Ka Fai, Frédérique Meininger, Arnaud Giovaninetti",5.6,71,,
301,A Lady without Passport,1950,Crime,84,United States,Joseph H. Lewis,"Hedy Lamarr, John Hodiak, George Macready",6.3,3,,
302,La faute de l'abbé Mouret,1970,Drama,82,France,Georges Franju,"Francis Huster, Tino Carraro, Gillian Hills, Fausto Tozzi",4.5,9,,
303,The Iron Mistress,1952,Drama,107,United States,Gordon Douglas,"Alan Ladd, Virginia Mayo, Joseph Calleia, Phillis Kirk",5,6,,
305,Lady Chatterley's Lover,1981,Drama,100,France,Just Jaeckin,"Sylvia Kristel, Nicholas Clay, Shane Briant, Ann Mitchell",4.8,23,,
307,Le château de verre,1950,Drama,100,France,René Clément,"Michèle Morgan, Jean Marais, Jean Servais",8,1,,
308,Nous ne viellirons pas ensemble,1972,Drama,106,France,Maurice Pialat,"Jean Yanne, Marlène Jobert, Macha Meril, Christine Fabrega",7.1,32,,
309,Daisy Kenyon,1947,Romantic,99,United States,Otto Preminger,"Joan Crawford, Henry Fonda, Dana Andrews",7,7,,
310,Broken Arrow,1950,Western,92,United States,Delmer Daves,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael",7.8,33,,
311,Les choses de la vie,1970,Drama,89,France,Claude Sautet,"Michel Piccoli, Romy Schneider, Lea Massari, Gérard Lartigau, Jean Bouise, Dominique Zardi, Hervé Sand",7.7,49,,
312,Christine,1958,Romantic,100,"France, Italy",Pierre Gaspard-Huit,"Romy Schneider, Alain Delon, Micheline Presle, Fernand Ledoux, Jean-Claude Brialy, Carl Lange",6.2,13,,
313,L'amante segreta,1941,Romantic,102,Italy,Carmine Gallone,"Alida Valli, Fosco Giachetti, Vivi Gioi, Osvaldo Valenti, Camilllo Pilotto",6,1,,
314,L'amant de poche,1977,Drama,90,France,Bernard Queysanne,"Pascal Sellier, Mimsy Farmer, Andréa Ferréol",7.5,5,,
315,Obsessed with a Married Woman,1985,Romantic,120,United States,Richard Lang,"Jane Seymour, Tim Matheson, Michael Goodwin",4,1,,
316,Colorado Territory,1949,Western,93,United States,Raoul Walsh,"Joel McCrea, Virginia Mayo, Dorothy Malone, Henry Hull",8,27,,
317,Rome Adventure,1962,Romantic,120,United States,Delmer Daves,"Angie Dickinson, Troy Donahue, Rossano Brazzi, Suzanne Pleshette",5,2,,
318,Lost Moment,1947,Drama,89,United States,Martin Gabel,"Susan Hayward, Robert Cummings, Agnes Moorehead",6.8,9,,
320,Lovers and Other Strangers,1974,Comedy,105,United States,Cy Howard,"Gig Young, Anne Jackson, Diane Keaton",6,2,,
321,Amanti in fuga,1947,Drama,110,Italy,Giacomo Gentilomo,"Gino Bechi, Annette Bach, Carlo Ninchi, Franca Marzi, Gualtiero Tumiati, Lamberto Picasso",7,2,,
322,Gli amanti latini,1965,Comedy,96,Italy,Mario Costa,"Totò, Aldo Giuffré, Franco Franchi, Ciccio Ingrassia",4,19,,
323,Mother's Day on Waltons Mountains,1982,Romantic,120,United States,Gwen Arner,"Ralph Waite, Michael Learned, Jon Walmsley",4,1,,
324,Amaramente,1956,Drama,92,Italy,Luigi Capuano,"Emilio Pericoli, Lia Cancellieri, Leda Gloria, Otello Toso, Loris Gizzi",4,1,,
325,Amarcord,1974,Grotesque,125,Italy,Federico Fellini,"Bruno Zanin, Pupella Maggio, Armando Brancia, Magali Noël, Ciccio Ingrassia",8.5,415,,
326,Assault and Matrimony,1987,Comedy,100,United States,James Frawley,"Jill Eikenberry, Michael Tucker",6,1,,
327,Amarsi un po'...,1985,Comedy,93,Italy,Carlo Vanzina,"Claudio Amendola, Tahnee Welch, Virna Lisi, Riccardo Garrone",4.1,33,,
328,Amazzoni bianche,1936,Comedy,83,Italy,Gennaro Righelli,"Paola Barbara, Enrico Viarisio, Luisa Ferida, Doris Duranti, Sandro Ruffini",6.5,2,,
329,Come and Get It,1936,Drama,105,United States,"Howard Hawks, William Wyler","Edward Arnold, Walter Brennan, Joel McCrea, Frances Farmer",7.9,18,,
